제작자,차명,생산기간(부터),생산기간(까지),리콜개시일,리콜사유
포드세일즈서비스코리아(유),2022-2023년식 Bronco,2022-01-12,2023-05-09,2023-09-08,"일부 2022-2023년식 Bronco 차량의 1열 안전벨트 래치(걸쇠)*가 생산과정에서 잘못된 위치에 장착되어 기준보다 좁은 공간에 위치하게 되었습니다. 이로 인해 고객이 안전벨트 래치(걸쇠)에 접근이 용이하지 않아 FMVSS(미국 연방 자동차 안전기준) 208 - S7.4.4 “래치 플레이트 접근 (Latch Plate Access)”을 준수하지 못하였습니다.*안전벨트 레치(걸쇠): 안전띠에 위치하는 T자 모양의 부품으로서 안전벨트 착용 시 버클에 장착되어 안전띠를 고정하는 역할을 합니다.* FMVSS 상세 항목: FMVSS 208 Occupant crash protection (탑승자 충돌 보호) - S7.4.4 Latch Plate Access (래치 플레이트 접근)- Any seat belt assembly latch plate that is located outboard of a front outboard seating position in accordance with S4.1.2 shall also be located within the outboard reach envelope of either the outboard arm or the inboard arm described in S10.7 and Figure 3 of this standard, when the latch plate is in its normal stowed position and any adjustable anchorages are adjusted to the manufacturer's nominal design position for a 50th percentile adult male occupant. There shall be sufficient clearance between the vehicle seat and the side of the vehicle interior to allow the test block defined in Figure 4 of this standard unhindered transit to the latch plate or buckle.- S4.1.2에 따라 전면 바깥쪽 착석 위치의 바깥쪽에 위치한 모든 안전 벨트 어셈블리 래치 플레이트는 S10.7 및 이 표준 법규 의 그림 3에 설명된 바깥쪽 팔 또는 안쪽 팔의 바깥쪽 도달 영역 내에 위치해야 합니다. 래치 플레이트가 정상적인 위치에 있고 조정 가능한 고정 장치가 50번째 백분위수 성인 남성 탑승자를 위해 제조업체의 장치 설계 위치로 조정된 경우. 이 표준 법규의 그림 4에 정의된 테스트 블록이 래치 플레이트 또는 버클에 간섭되지 않고 통과할 수 있도록 차량 시트와 차량 내부 측면 사이에 충분한 간격이 있어야 합니다."
기아 주식회사,K5(DL3),2023-03-08,2023-05-02,2023-09-13,K5(DL3) 일부 차량에서 자동변속기의 ISG(Idle Stop and Go)용 전동식오일펌프(EOP) 제조 불량으로 인해 내부 단락이 되어 화재 발생 가능성
현대자동차(주),유니버스 (PY),2023-02-02,2023-07-05,2023-09-07,유니버스(PY) 일부 차량에서 리타더 전자제어장치 제조공정 불량으로 제동 토크 설정값 오류로 인해 보조제동장치의 감속능력 안전기준을 만족하지 못하는 결함
현대자동차(주),아반떼 하이브리드 (CN7 HEV),2020-08-11,2023-03-28,2023-09-11,현대자동차㈜에서는 아반떼 하이브리드(CN7 HEV) 일부 차량에서 하이브리드 통합 제어기(HPCU)의 구동모터 제어 소프트웨어 오류로 인해 저속 EV모드 주행중 간헐적으로 약한(10~20kph 가량) 가속현상(정상제동 가능)으로 사고발생 가능성이 있는 결함이 확인되어 제작결함시정을 하고자 함
기아 주식회사,그랜버드(GZ),2023-03-29,2023-07-14,2023-09-07,리타더 전자제어장치 제조공정 불량으로 제동 토크 설정값 오류로 인해 보조제동장치의 감속능력 안전기준을 만족하지 못하는 결함
(주)바이크코리아,Tiger Sports,2022-01-03,2022-09-29,2023-09-26,"MAP센서 호스로 블로바이가스가 유입되어 호스 내부에 오일 슬러지가 생성되면 저항이 생겨 흡입공기량의 측정이 제대로 되지 않고, 이로 인해 ECU의 혼합비 보정이 정상적으로 이루어 지지 않아 차량의 아이들 RPM이 불안정 하거나 저속 주행 시 시동 꺼짐이 발생할 가능성이 있음"
(주)바이크코리아,Trident 660,2020-11-30,2023-01-28,2023-09-26,"MAP센서 호스로 블로바이가스가 유입되어 호스 내부에 오일 슬러지가 생성되면 저항이 생겨 흡입공기량의 측정이 제대로 되지 않고, 이로 인해 ECU의 혼합비 보정이 정상적으로 이루어 지지 않아 차량의 아이들 RPM이 불안정 하거나 저속 주행 시 시동 꺼짐이 발생할 가능성이 있음"
포르쉐코리아 주식회사,파나메라,2016-09-27,2021-07-27,2023-05-02,보조 냉각수 펌프 연결 커넥터의 밀봉 불량으로 습기가 유입되고 이로 인해 단락이 발생할 가능성이 확인되었습니다.
한국지엠주식회사,볼트 EV,2021-02-08,2022-08-30,2023-01-20,"차량 충돌 시 안전벨트 프리텐셔너가 작동할 경우, 발생되는 고온의 가스로 인하여 B-필러 (앞좌석과 뒷좌석 사이의 기둥) 하단 부위에 인접한 카페트 밑의 절연재가 발화 될 가능성이 있음.	"
기흥인터내셔널 유한회사,ARTURA,2021-10-08,2022-11-14,2023-01-20,고압연료파이프 고정에 사용되는 고정너트 불량으로 가혹 조건 주행 시 너트가 풀리고 이로 인해 고정부위에서 연료가 누유 되어 화재가 발생 할 가능성이 있습니다. 
바이크원,SPYDER F3,2015-03-04,2019-03-25,2023-07-25,일부 차량에서 전방 스프라켓의 내구성 부족으로 조기에 마모가 될 수 있습니다.
바이크원,SPYDER RT,2015-01-09,2019-04-04,2023-07-25,일부 차량에서 전방 스프라켓의 내구성 부족으로 조기에 마모가 될 수 있습니다.
바이크원,SPYDER RT,2020-01-15,2020-01-16,2023-07-25,일부 차량에서 제동장치 지지대의 내구성 부족으로 특정위치에서 강도가 약화되어 강한압력으로 급제동시 지지대가 파손될 수 있습니다.
비엠더블유코리아(주),BMW M135i xDrive,2021-09-10,2021-09-10,2023-09-21,"수신기 오디오 모듈의 소프트웨어 오류로 차량의 각종 경고음 (예: 좌석안전띠 경고음, 후진 경고음, 운전자지원첨단조향장치(ADASS) 자동해제 경고음 등)이 지연되거나 일정한 상태로 고정될 가능성이 있습니다.*수신기 오디오 모듈: 수신기 오디오 모듈은 좌석안전띠 경고음, 후진 경고음, ADASS 자동해제 경고음, 체크 컨트롤 메시지에 따른 음향 등 신호처리를 담당하는 인포테인먼트 관련 컨트롤 유닛입니다."
비엠더블유코리아(주),BMW 330i,2019-08-27,2019-08-27,2023-09-21,"수신기 오디오 모듈의 소프트웨어 오류로 차량의 각종 경고음 (예: 좌석안전띠 경고음, 후진 경고음, 운전자지원첨단조향장치(ADASS) 자동해제 경고음 등)이 지연되거나 일정한 상태로 고정될 가능성이 있습니다.*수신기 오디오 모듈: 수신기 오디오 모듈은 좌석안전띠 경고음, 후진 경고음, ADASS 자동해제 경고음, 체크 컨트롤 메시지에 따른 음향 등 신호처리를 담당하는 인포테인먼트 관련 컨트롤 유닛입니다."
비엠더블유코리아(주),BMW M235i xDrive Gran Coupe,2022-05-18,2022-05-18,2023-09-21,"수신기 오디오 모듈의 소프트웨어 오류로 차량의 각종 경고음 (예: 좌석안전띠 경고음, 후진 경고음, 운전자지원첨단조향장치(ADASS) 자동해제 경고음 등)이 지연되거나 일정한 상태로 고정될 가능성이 있습니다.*수신기 오디오 모듈: 수신기 오디오 모듈은 좌석안전띠 경고음, 후진 경고음, ADASS 자동해제 경고음, 체크 컨트롤 메시지에 따른 음향 등 신호처리를 담당하는 인포테인먼트 관련 컨트롤 유닛입니다."
비엠더블유코리아(주),BMW Z4 sDrive20i,2020-06-25,2023-07-26,2023-09-21,"수신기 오디오 모듈의 소프트웨어 오류로 차량의 각종 경고음 (예: 좌석안전띠 경고음, 후진 경고음, 운전자지원첨단조향장치(ADASS) 자동해제 경고음 등)이 지연되거나 일정한 상태로 고정될 가능성이 있습니다.*수신기 오디오 모듈: 수신기 오디오 모듈은 좌석안전띠 경고음, 후진 경고음, ADASS 자동해제 경고음, 체크 컨트롤 메시지에 따른 음향 등 신호처리를 담당하는 인포테인먼트 관련 컨트롤 유닛입니다."
스카니아코리아그룹(주),스카니아트랙터,2021-04-13,2022-02-11,2023-09-27,"등화장치(번호등)의 설계, 제작 공정 등 오류로 LED광원이  손상되고, 정상 점등되지 않음."
스카니아코리아그룹(주),스카니아트랙터,2021-03-12,2022-05-19,2023-09-27,"등화장치(번호등)의 설계, 제작 공정 등 오류로 LED광원이  손상되고, 정상 점등되지 않음."
스카니아코리아그룹(주),스카니아트랙터,2022-03-16,2022-03-16,2023-09-27,"등화장치(번호등)의 설계, 제작 공정 등 오류로 LED광원이  손상되고, 정상 점등되지 않음."
스카니아코리아그룹(주),스카니아트랙터,2021-04-06,2022-05-13,2023-09-27,"등화장치(번호등)의 설계, 제작 공정 등 오류로 LED광원이  손상되고, 정상 점등되지 않음."
스카니아코리아그룹(주),스카니아트랙터,2021-05-20,2022-04-14,2023-09-27,"등화장치(번호등)의 설계, 제작 공정 등 오류로 LED광원이  손상되고, 정상 점등되지 않음."
스카니아코리아그룹(주),스카니아카고,2021-04-21,2022-06-03,2023-09-27,"등화장치(번호등)의 설계, 제작 공정 등 오류로 LED광원이  손상되고, 정상 점등되지 않음."
스카니아코리아그룹(주),스카니아카고,2021-04-21,2022-05-19,2023-09-27,"등화장치(번호등)의 설계, 제작 공정 등 오류로 LED광원이  손상되고, 정상 점등되지 않음."
스카니아코리아그룹(주),스카니아카고,2021-09-08,2021-09-08,2023-09-27,"등화장치(번호등)의 설계, 제작 공정 등 오류로 LED광원이  손상되고, 정상 점등되지 않음."
스카니아코리아그룹(주),스카니아카고,2021-04-21,2022-05-06,2023-09-27,"등화장치(번호등)의 설계, 제작 공정 등 오류로 LED광원이  손상되고, 정상 점등되지 않음."
스카니아코리아그룹(주),스카니아카고,2021-05-21,2021-10-15,2023-09-27,"등화장치(번호등)의 설계, 제작 공정 등 오류로 LED광원이  손상되고, 정상 점등되지 않음."
스카니아코리아그룹(주),스카니아카고,2021-03-10,2022-05-16,2023-09-27,"등화장치(번호등)의 설계, 제작 공정 등 오류로 LED광원이  손상되고, 정상 점등되지 않음."
스카니아코리아그룹(주),스카니아카고,2021-04-21,2022-04-15,2023-09-27,"등화장치(번호등)의 설계, 제작 공정 등 오류로 LED광원이  손상되고, 정상 점등되지 않음."
스카니아코리아그룹(주),스카니아카고,2021-04-28,2021-04-30,2023-09-27,"등화장치(번호등)의 설계, 제작 공정 등 오류로 LED광원이  손상되고, 정상 점등되지 않음."
스카니아코리아그룹(주),스카니아카고,2021-04-21,2022-03-21,2023-09-27,"등화장치(번호등)의 설계, 제작 공정 등 오류로 LED광원이  손상되고, 정상 점등되지 않음."
스카니아코리아그룹(주),스카니아카고,2021-04-01,2022-05-18,2023-09-27,"등화장치(번호등)의 설계, 제작 공정 등 오류로 LED광원이  손상되고, 정상 점등되지 않음."
스카니아코리아그룹(주),스카니아카고,2021-09-09,2021-10-22,2023-09-27,"등화장치(번호등)의 설계, 제작 공정 등 오류로 LED광원이  손상되고, 정상 점등되지 않음."
스카니아코리아그룹(주),스카니아카고,2021-04-16,2022-03-11,2023-09-27,"등화장치(번호등)의 설계, 제작 공정 등 오류로 LED광원이  손상되고, 정상 점등되지 않음."
스카니아코리아그룹(주),스카니아카고,2021-02-10,2022-05-12,2023-09-27,"등화장치(번호등)의 설계, 제작 공정 등 오류로 LED광원이  손상되고, 정상 점등되지 않음."
스카니아코리아그룹(주),스카니아카고,2021-10-05,2021-10-12,2023-09-27,"등화장치(번호등)의 설계, 제작 공정 등 오류로 LED광원이  손상되고, 정상 점등되지 않음."
스카니아코리아그룹(주),스카니아카고,2021-04-21,2022-04-28,2023-09-27,"등화장치(번호등)의 설계, 제작 공정 등 오류로 LED광원이  손상되고, 정상 점등되지 않음."
(주)에이치알이앤아이,호룡SKY3004N고소작업차,2018-02-28,2020-04-29,2023-01-18,"인증 중량 초과 스페어 타이어, 인버터와 보조배터리장치, 수납함 추가 설치 및 구조물 보강 등으로 인하여 총중량이 초과로 자동차 정기검사에 불합격 처리 될 수 있음."
(주)에이치알이앤아이,호룡SKY3004N고소작업차,2015-07-28,2018-11-23,2023-01-18,"인증 중량 초과 스페어 타이어, 인버터와 보조배터리장치, 수납함 추가 설치 및 구조물 보강 등으로 인하여 총중량이 초과로 자동차 정기검사에 불합격 처리 될 수 있음."
(주)대창모터스,다니고밴,2021-04-02,2022-10-14,2023-03-03,"◎ 배터리 BMS 소프트웨어 로직 알고리즘 오류1) 배터리 셀 온도 조건 기준에 따른 충전 제한 전류가 맞지 않아, 충전 전류가 셀 온도  조건 충전 제한 전류 보다 크게 충전됨.2) 충전 시 SOC(충전상태)보정을 특정 구간(80~100%) 에서만 실시하여, 100% 충전을 진행하지 않을 경우 SOC 누적오차는 ±30% 이상 발생 가능성"
(주)볼보자동차코리아,XC90,2022-10-11,2023-01-13,2023-02-17,"전자식 브레이크 제어 장치(BCM2 - Brake Control Module2)소프트웨어의 호환성 문제로, 전자식 브레이크 보조 기능(ABS, ESC, 트렉션컨트롤, 어댑티브 크루즈컨트롤 등)이 제대로 작동되지 않을 가능성이 있습니다."
(주)볼보자동차코리아,XC60,2022-11-10,2023-01-13,2023-02-17,"전자식 브레이크 제어 장치(BCM2 - Brake Control Module2)소프트웨어의 호환성 문제로, 전자식 브레이크 보조 기능(ABS, ESC, 트렉션컨트롤, 어댑티브 크루즈컨트롤 등)이 제대로 작동되지 않을 가능성이 있습니다."
(주)볼보자동차코리아,XC40,2022-08-19,2023-01-13,2023-02-17,"전자식 브레이크 제어 장치(BCM2 - Brake Control Module2)소프트웨어의 호환성 문제로, 전자식 브레이크 보조 기능(ABS, ESC, 트렉션컨트롤, 어댑티브 크루즈컨트롤 등)이 제대로 작동되지 않을 가능성이 있습니다."
(주)볼보자동차코리아,V90CC,2022-10-11,2023-01-13,2023-02-17,"전자식 브레이크 제어 장치(BCM2 - Brake Control Module2)소프트웨어의 호환성 문제로, 전자식 브레이크 보조 기능(ABS, ESC, 트렉션컨트롤, 어댑티브 크루즈컨트롤 등)이 제대로 작동되지 않을 가능성이 있습니다."
(주)볼보자동차코리아,V60CC,2022-09-22,2023-01-12,2023-02-17,"전자식 브레이크 제어 장치(BCM2 - Brake Control Module2)소프트웨어의 호환성 문제로, 전자식 브레이크 보조 기능(ABS, ESC, 트렉션컨트롤, 어댑티브 크루즈컨트롤 등)이 제대로 작동되지 않을 가능성이 있습니다."
(주)볼보자동차코리아,S60,2022-09-26,2023-01-11,2023-02-17,"전자식 브레이크 제어 장치(BCM2 - Brake Control Module2)소프트웨어의 호환성 문제로, 전자식 브레이크 보조 기능(ABS, ESC, 트렉션컨트롤, 어댑티브 크루즈컨트롤 등)이 제대로 작동되지 않을 가능성이 있습니다."
(주)볼보자동차코리아,C40,2022-09-09,2022-12-22,2023-02-17,"전자식 브레이크 제어 장치(BCM2 - Brake Control Module2)소프트웨어의 호환성 문제로, 전자식 브레이크 보조 기능(ABS, ESC, 트렉션컨트롤, 어댑티브 크루즈컨트롤 등)이 제대로 작동되지 않을 가능성이 있습니다."
폭스바겐그룹코리아 주식회사,S7 TDI,2020-03-06,2022-02-25,2023-02-17,특정 기간 동안 생산/수입된 일부 차량의 뒷자석 시트 내부에 위치한 게이트웨이 컨트롤유닛에 수분이 유입되는 경우 게이트웨이 컨트롤 유닛이 손상될 수 있습니다. * 게이트웨이 컨트롤 유닛: 차량의 다양한 컨트롤유닛 간의 통신 중계를 하는 전기장치
폭스바겐그룹코리아 주식회사,S6 TDI,2020-03-06,2022-03-30,2023-02-17,특정 기간 동안 생산/수입된 일부 차량의 뒷자석 시트 내부에 위치한 게이트웨이 컨트롤유닛에 수분이 유입되는 경우 게이트웨이 컨트롤 유닛이 손상될 수 있습니다. * 게이트웨이 컨트롤 유닛: 차량의 다양한 컨트롤유닛 간의 통신 중계를 하는 전기장치
폭스바겐그룹코리아 주식회사,RS7,2021-02-11,2022-03-08,2023-02-17,특정 기간 동안 생산/수입된 일부 차량의 뒷자석 시트 내부에 위치한 게이트웨이 컨트롤유닛에 수분이 유입되는 경우 게이트웨이 컨트롤 유닛이 손상될 수 있습니다. * 게이트웨이 컨트롤 유닛: 차량의 다양한 컨트롤유닛 간의 통신 중계를 하는 전기장치
폭스바겐그룹코리아 주식회사,RS6 Avant,2021-02-11,2022-03-08,2023-02-17,특정 기간 동안 생산/수입된 일부 차량의 뒷자석 시트 내부에 위치한 게이트웨이 컨트롤유닛에 수분이 유입되는 경우 게이트웨이 컨트롤 유닛이 손상될 수 있습니다. * 게이트웨이 컨트롤 유닛: 차량의 다양한 컨트롤유닛 간의 통신 중계를 하는 전기장치
폭스바겐그룹코리아 주식회사,A7 55 TFSI qu. Premium,2019-10-21,2022-04-04,2023-02-17,특정 기간 동안 생산/수입된 일부 차량의 뒷자석 시트 내부에 위치한 게이트웨이 컨트롤유닛에 수분이 유입되는 경우 게이트웨이 컨트롤 유닛이 손상될 수 있습니다. * 게이트웨이 컨트롤 유닛: 차량의 다양한 컨트롤유닛 간의 통신 중계를 하는 전기장치
폭스바겐그룹코리아 주식회사,A7 50 TDI qu. Premium,2019-12-09,2022-03-09,2023-02-17,특정 기간 동안 생산/수입된 일부 차량의 뒷자석 시트 내부에 위치한 게이트웨이 컨트롤유닛에 수분이 유입되는 경우 게이트웨이 컨트롤 유닛이 손상될 수 있습니다. * 게이트웨이 컨트롤 유닛: 차량의 다양한 컨트롤유닛 간의 통신 중계를 하는 전기장치
폭스바겐그룹코리아 주식회사,A7 45 TDI qu. Premium,2020-03-06,2022-03-09,2023-02-17,특정 기간 동안 생산/수입된 일부 차량의 뒷자석 시트 내부에 위치한 게이트웨이 컨트롤유닛에 수분이 유입되는 경우 게이트웨이 컨트롤 유닛이 손상될 수 있습니다. * 게이트웨이 컨트롤 유닛: 차량의 다양한 컨트롤유닛 간의 통신 중계를 하는 전기장치
폭스바겐그룹코리아 주식회사,A6 50 TDI qu. Premium,2020-03-06,2022-03-04,2023-02-17,특정 기간 동안 생산/수입된 일부 차량의 뒷자석 시트 내부에 위치한 게이트웨이 컨트롤유닛에 수분이 유입되는 경우 게이트웨이 컨트롤 유닛이 손상될 수 있습니다. * 게이트웨이 컨트롤 유닛: 차량의 다양한 컨트롤유닛 간의 통신 중계를 하는 전기장치
폭스바겐그룹코리아 주식회사,A6 45 TFSI qu. Premium,2019-08-02,2022-03-09,2023-02-17,특정 기간 동안 생산/수입된 일부 차량의 뒷자석 시트 내부에 위치한 게이트웨이 컨트롤유닛에 수분이 유입되는 경우 게이트웨이 컨트롤 유닛이 손상될 수 있습니다. * 게이트웨이 컨트롤 유닛: 차량의 다양한 컨트롤유닛 간의 통신 중계를 하는 전기장치
폭스바겐그룹코리아 주식회사,A6 45 TFSI qu.,2019-08-02,2022-07-27,2023-02-17,특정 기간 동안 생산/수입된 일부 차량의 뒷자석 시트 내부에 위치한 게이트웨이 컨트롤유닛에 수분이 유입되는 경우 게이트웨이 컨트롤 유닛이 손상될 수 있습니다. * 게이트웨이 컨트롤 유닛: 차량의 다양한 컨트롤유닛 간의 통신 중계를 하는 전기장치
폭스바겐그룹코리아 주식회사,A6 45 TFSI Premium,2020-02-21,2022-03-10,2023-02-17,특정 기간 동안 생산/수입된 일부 차량의 뒷자석 시트 내부에 위치한 게이트웨이 컨트롤유닛에 수분이 유입되는 경우 게이트웨이 컨트롤 유닛이 손상될 수 있습니다. * 게이트웨이 컨트롤 유닛: 차량의 다양한 컨트롤유닛 간의 통신 중계를 하는 전기장치
폭스바겐그룹코리아 주식회사,A6 45 TFSI,2020-02-21,2022-03-09,2023-02-17,특정 기간 동안 생산/수입된 일부 차량의 뒷자석 시트 내부에 위치한 게이트웨이 컨트롤유닛에 수분이 유입되는 경우 게이트웨이 컨트롤 유닛이 손상될 수 있습니다. * 게이트웨이 컨트롤 유닛: 차량의 다양한 컨트롤유닛 간의 통신 중계를 하는 전기장치
